cost,datetime,category
2.71,5/14/2023,Clothing
0.91,4/19/2023,Restaurant
0.91,3/23/2023,Electronics
5.05,2/5/2023,Market
6.33,3/24/2023,Electronics
27.89,8/22/2023,Travel
21.98,2/26/2023,Travel
2.37,2/21/2023,Clothing
1.76,7/22/2023,Market
0.89,6/23/2023,Electronics
1.58,1/2/2023,Cosmetic
28.63,6/13/2023,Travel
0.64,6/14/2023,Clothing
0.98,2/24/2023,Clothing
1.06,9/17/2023,Restaurant
3.23,7/14/2023,Clothing
10.91,1/7/2023,Travel
0.78,1/14/2023,Clothing
1.70,1/4/2023,Cosmetic
25.45,4/10/2023,Travel
8.25,1/2/2023,Electronics
0.59,4/1/2023,Restaurant
1.11,3/17/2023,Cosmetic
1.48,7/29/2023,Clothing
2.28,5/8/2023,Clothing
0.93,9/19/2023,Electronics
3.12,3/16/2023,Market
11.47,3/3/2023,Travel
0.16,2/14/2023,Restaurant
2.34,7/17/2023,Clothing
7.34,5/15/2023,Electronics
2.38,4/9/2023,Market
1.05,10/6/2023,Cosmetic
0.60,5/21/2023,Restaurant
2.50,10/5/2023,Clothing
19.51,6/1/2023,Travel
0.63,2/6/2023,Market
0.53,3/17/2023,Cosmetic
0.86,5/26/2023,Restaurant
0.54,7/11/2023,Restaurant
1.55,4/22/2023,Electronics
0.38,9/21/2023,Clothing
3.39,2/17/2023,Clothing
32.64,10/10/2023,Travel
3.60,6/8/2023,Market
2.52,4/7/2023,Clothing
1.01,8/16/2023,Cosmetic
1.24,2/4/2023,Clothing
5.00,9/21/2023,Market
1.61,3/7/2023,Clothing
9.12,5/23/2023,Electronics
3.22,6/17/2023,Clothing
1.65,7/17/2023,Clothing
3.41,3/28/2023,Electronics
2.46,4/8/2023,Market
0.86,9/4/2023,Restaurant
3.35,6/19/2023,Electronics
10.19,7/17/2023,Electronics
32.01,2/13/2023,Travel
0.43,8/29/2023,Clothing
6.22,4/14/2023,Travel
6.17,9/3/2023,Electronics
0.38,1/12/2023,Clothing
1.45,1/2/2023,Clothing
0.12,5/6/2023,Cosmetic
0.69,4/12/2023,Restaurant
2.74,9/3/2023,Clothing
2.04,1/17/2023,Cosmetic
1.98,2/14/2023,Cosmetic
0.68,2/22/2023,Restaurant
5.46,2/22/2023,Market
9.01,5/15/2023,Travel
0.46,1/17/2023,Restaurant
0.15,2/16/2023,Restaurant
23.31,10/4/2023,Travel
2.53,2/3/2023,Market
3.42,5/16/2023,Clothing
5.01,9/3/2023,Market
2.66,7/1/2023,Clothing
1.36,7/20/2023,Clothing
1.74,8/9/2023,Market
29.08,8/4/2023,Travel
2.35,2/19/2023,Clothing
22.28,9/24/2023,Travel
3.12,4/25/2023,Clothing
1.24,6/23/2023,Market
0.22,6/11/2023,Cosmetic
2.84,8/21/2023,Clothing
31.16,8/5/2023,Travel
5.75,4/7/2023,Electronics
1.15,5/19/2023,Restaurant
8.99,7/4/2023,Electronics
0.97,4/24/2023,Restaurant
2.28,6/4/2023,Market
6.98,2/22/2023,Electronics
30.42,5/30/2023,Travel
5.70,6/26/2023,Market
4.23,10/4/2023,Market
1.95,4/22/2023,Cosmetic
0.62,9/13/2023,Market
0.89,7/11/2023,Restaurant
1.90,2/27/2023,Cosmetic
8.15,9/4/2023,Electronics
1.00,4/30/2023,Cosmetic
1.36,7/16/2023,Market
0.61,9/2/2023,Clothing
0.72,8/10/2023,Restaurant
7.10,3/30/2023,Electronics
3.85,4/29/2023,Electronics
1.16,6/15/2023,Restaurant
0.21,6/16/2023,Restaurant
1.51,6/17/2023,Market
1.15,1/2/2023,Restaurant
6.32,6/24/2023,Travel
9.31,1/2/2023,Electronics
1.02,2/19/2023,Clothing
8.72,7/2/2023,Electronics
6.20,2/21/2023,Electronics
0.94,2/10/2023,Restaurant
0.18,1/4/2023,Restaurant
2.31,1/24/2023,Electronics
4.99,4/2/2023,Market
5.95,8/17/2023,Electronics
19.31,6/20/2023,Travel
1.44,2/7/2023,Cosmetic
3.22,10/3/2023,Clothing
4.05,2/17/2023,Market
0.98,3/29/2023,Restaurant
24.06,7/4/2023,Travel
1.10,6/16/2023,Market
3.12,1/22/2023,Electronics
1.08,5/31/2023,Market
8.74,6/22/2023,Electronics
26.60,5/5/2023,Travel
9.23,10/5/2023,Travel
1.47,1/28/2023,Cosmetic
11.74,5/20/2023,Electronics
0.96,9/3/2023,Restaurant
1.22,8/20/2023,Cosmetic
0.59,7/29/2023,Restaurant
1.98,1/27/2023,Cosmetic
23.87,10/2/2023,Travel
9.54,5/21/2023,Travel
15.81,6/5/2023,Travel
0.13,9/1/2023,Cosmetic
1.17,9/7/2023,Cosmetic
12.18,3/11/2023,Travel
0.38,6/19/2023,Restaurant
3.10,7/4/2023,Market
10.49,1/21/2023,Travel
9.84,4/16/2023,Electronics
0.87,3/4/2023,Restaurant
0.51,9/3/2023,Market
0.87,1/12/2023,Restaurant
30.12,6/5/2023,Travel
0.22,8/6/2023,Cosmetic
31.71,9/14/2023,Travel
0.78,5/3/2023,Market
2.86,2/28/2023,Clothing
18.21,5/31/2023,Travel
0.99,3/18/2023,Cosmetic
28.57,7/1/2023,Travel
1.14,10/10/2023,Cosmetic
2.70,9/8/2023,Clothing
5.23,9/27/2023,Electronics
1.34,9/10/2023,Cosmetic
0.22,6/18/2023,Restaurant
10.14,2/27/2023,Travel
1.42,5/10/2023,Market
28.00,8/10/2023,Travel
7.43,3/17/2023,Electronics
5.65,8/1/2023,Travel
0.14,5/12/2023,Restaurant
33.19,5/15/2023,Travel
11.61,7/18/2023,Electronics
1.64,4/18/2023,Cosmetic
7.71,4/15/2023,Electronics
3.36,2/2/2023,Market
9.53,6/25/2023,Electronics
0.57,8/26/2023,Clothing
0.49,7/23/2023,Restaurant
0.60,4/26/2023,Market
6.32,6/21/2023,Electronics
18.60,6/22/2023,Travel
0.32,3/11/2023,Restaurant
27.37,4/27/2023,Travel
10.91,5/12/2023,Electronics
2.91,2/25/2023,Electronics
3.12,2/25/2023,Electronics
1.82,7/15/2023,Clothing
0.77,8/16/2023,Clothing
6.42,5/13/2023,Electronics
0.30,10/3/2023,Clothing
8.38,5/10/2023,Electronics
3.67,2/5/2023,Electronics
9.46,3/2/2023,Electronics
0.59,7/1/2023,Cosmetic
10.95,3/7/2023,Travel
19.86,6/5/2023,Travel
3.36,5/9/2023,Market
1.65,2/26/2023,Clothing
3.91,9/27/2023,Electronics
12.87,1/12/2023,Travel
0.65,6/19/2023,Restaurant
20.99,6/18/2023,Travel
5.81,7/14/2023,Market
2.06,8/14/2023,Electronics
2.09,4/12/2023,Cosmetic
1.10,7/12/2023,Market
10.06,5/28/2023,Electronics
1.35,6/6/2023,Cosmetic
2.54,8/5/2023,Clothing
5.04,1/4/2023,Market
1.03,3/13/2023,Market
2.00,10/7/2023,Clothing
2.87,3/18/2023,Clothing
1.09,8/31/2023,Market
2.57,2/8/2023,Market
1.01,9/14/2023,Clothing
3.25,3/9/2023,Market
0.90,8/28/2023,Restaurant
0.37,6/11/2023,Restaurant
8.66,2/10/2023,Travel
2.46,5/26/2023,Clothing
1.20,9/27/2023,Cosmetic
7.57,10/11/2023,Electronics
1.37,8/28/2023,Market
1.61,9/22/2023,Clothing
2.34,8/25/2023,Clothing
2.03,4/26/2023,Market
4.87,5/4/2023,Market
0.61,5/28/2023,Restaurant
1.40,10/11/2023,Market
2.23,6/13/2023,Clothing
4.97,1/23/2023,Electronics
0.20,4/1/2023,Market
0.82,3/6/2023,Restaurant
1.36,2/22/2023,Clothing
9.55,8/27/2023,Electronics
1.92,1/27/2023,Market
1.76,7/21/2023,Cosmetic
0.98,1/10/2023,Restaurant
2.08,8/22/2023,Electronics
3.37,4/19/2023,Market
0.39,5/11/2023,Restaurant
3.38,7/22/2023,Market
0.89,5/24/2023,Restaurant
0.51,9/13/2023,Clothing
0.74,5/24/2023,Clothing
9.37,9/12/2023,Travel
25.91,7/11/2023,Travel
4.44,7/5/2023,Electronics
2.25,6/17/2023,Cosmetic
0.65,5/20/2023,Cosmetic
27.96,6/4/2023,Travel
0.23,8/5/2023,Cosmetic
1.82,5/5/2023,Cosmetic
9.45,2/17/2023,Electronics
2.36,6/16/2023,Clothing
10.11,6/24/2023,Travel
10.96,5/3/2023,Electronics
1.47,8/1/2023,Cosmetic
0.67,1/26/2023,Restaurant
2.07,1/20/2023,Clothing
7.03,6/3/2023,Electronics
2.52,5/14/2023,Clothing
1.09,7/4/2023,Restaurant
9.09,2/17/2023,Electronics
2.42,1/19/2023,Market
1.37,6/27/2023,Clothing
2.51,2/18/2023,Market
18.57,9/22/2023,Travel
7.42,7/29/2023,Electronics
6.45,4/28/2023,Electronics
15.78,9/13/2023,Travel
3.32,1/10/2023,Market
1.00,10/11/2023,Cosmetic
0.37,8/2/2023,Cosmetic
1.59,4/30/2023,Clothing
7.08,7/4/2023,Electronics
7.59,3/10/2023,Electronics
1.56,8/23/2023,Cosmetic
1.92,1/13/2023,Clothing
0.55,1/1/2023,Restaurant
0.81,7/19/2023,Restaurant
21.46,3/24/2023,Travel
1.77,7/28/2023,Clothing
1.21,8/10/2023,Electronics
34.26,1/6/2023,Travel
33.42,3/6/2023,Travel
4.70,3/10/2023,Electronics
1.08,1/6/2023,Restaurant
0.82,5/5/2023,Restaurant
3.01,7/4/2023,Market
4.90,2/3/2023,Travel
0.15,7/15/2023,Restaurant
0.23,4/29/2023,Restaurant
0.67,9/13/2023,Cosmetic
8.58,6/27/2023,Electronics
10.13,5/3/2023,Electronics
1.83,10/11/2023,Electronics
11.51,8/21/2023,Electronics
1.47,5/4/2023,Cosmetic
15.70,10/14/2023,Travel
0.36,2/27/2023,Cosmetic
2.92,9/18/2023,Market
0.70,7/22/2023,Cosmetic
3.39,3/19/2023,Clothing
5.43,6/10/2023,Market
1.60,4/14/2023,Electronics
33.83,2/10/2023,Travel
0.96,1/20/2023,Market
0.36,9/19/2023,Restaurant
1.95,3/8/2023,Clothing
2.01,2/28/2023,Cosmetic
3.34,7/1/2023,Clothing
23.12,4/6/2023,Travel
19.38,9/13/2023,Travel
7.67,5/6/2023,Travel
0.65,10/7/2023,Cosmetic
7.45,1/5/2023,Electronics
6.20,5/14/2023,Travel
1.72,9/9/2023,Electronics
0.35,4/20/2023,Restaurant
31.86,7/7/2023,Travel
3.57,6/8/2023,Electronics
2.78,2/26/2023,Clothing
1.39,4/13/2023,Cosmetic
0.69,1/16/2023,Restaurant
6.55,7/5/2023,Electronics
5.26,3/27/2023,Electronics
1.74,2/22/2023,Market
1.98,2/8/2023,Clothing
2.59,9/17/2023,Market
1.00,3/10/2023,Clothing
0.41,4/13/2023,Restaurant
4.59,9/10/2023,Market
11.50,1/18/2023,Travel
0.62,3/12/2023,Clothing
0.62,6/4/2023,Clothing
1.86,5/28/2023,Cosmetic
2.16,6/9/2023,Cosmetic
0.47,3/4/2023,Market
0.85,3/30/2023,Cosmetic
1.79,6/20/2023,Cosmetic
1.11,1/20/2023,Restaurant
25.04,7/19/2023,Travel
0.89,7/15/2023,Restaurant
0.17,10/12/2023,Restaurant
8.88,8/24/2023,Electronics
22.90,2/5/2023,Travel
1.84,9/17/2023,Clothing
0.15,3/3/2023,Restaurant
11.70,4/12/2023,Electronics
17.88,9/25/2023,Travel
0.12,5/17/2023,Restaurant
4.24,5/10/2023,Market
13.31,2/4/2023,Travel
1.14,10/11/2023,Restaurant
9.05,8/4/2023,Electronics
31.98,2/1/2023,Travel
0.64,8/22/2023,Restaurant
1.53,3/31/2023,Cosmetic
2.58,7/6/2023,Travel
0.79,5/14/2023,Clothing
2.93,6/22/2023,Market
0.57,9/21/2023,Restaurant
9.60,2/23/2023,Electronics
0.55,9/11/2023,Clothing
10.20,8/1/2023,Electronics
3.87,9/12/2023,Market
1.66,1/4/2023,Market
1.00,3/12/2023,Market
2.05,6/2/2023,Clothing
0.57,2/22/2023,Restaurant
2.20,1/16/2023,Travel
2.48,6/3/2023,Clothing
4.14,5/8/2023,Market
0.92,8/5/2023,Restaurant
8.99,1/6/2023,Travel
0.77,8/2/2023,Market
0.76,6/6/2023,Clothing
0.80,2/2/2023,Restaurant
12.66,6/25/2023,Travel
12.46,8/19/2023,Travel
1.94,2/16/2023,Clothing
1.70,8/26/2023,Clothing
0.26,7/18/2023,Restaurant
0.99,4/25/2023,Cosmetic
2.82,8/20/2023,Clothing
0.32,3/1/2023,Cosmetic
6.98,2/8/2023,Electronics
1.63,4/17/2023,Cosmetic
3.46,4/2/2023,Clothing
1.13,5/25/2023,Restaurant
10.04,2/11/2023,Electronics
4.80,8/15/2023,Market
0.71,1/28/2023,Clothing
1.62,7/3/2023,Cosmetic
0.83,1/2/2023,Market
10.14,5/17/2023,Electronics
1.51,7/26/2023,Electronics
2.45,3/28/2023,Electronics
3.12,9/10/2023,Electronics
1.37,4/7/2023,Cosmetic
2.30,7/12/2023,Cosmetic
0.83,4/13/2023,Cosmetic
11.30,5/16/2023,Electronics
18.48,7/4/2023,Travel
3.35,8/8/2023,Market
7.98,3/3/2023,Electronics
1.68,3/17/2023,Market
1.27,9/25/2023,Clothing
0.52,9/28/2023,Cosmetic
31.24,2/27/2023,Travel
1.59,6/18/2023,Cosmetic
4.67,1/31/2023,Market
1.18,1/15/2023,Market
0.30,3/14/2023,Market
0.75,8/3/2023,Clothing
0.33,5/11/2023,Restaurant
0.18,8/22/2023,Restaurant
4.05,6/10/2023,Travel
9.57,3/4/2023,Travel
3.79,9/4/2023,Market
1.59,7/13/2023,Cosmetic
0.30,3/9/2023,Clothing
2.32,5/9/2023,Electronics
1.42,8/25/2023,Cosmetic
26.85,1/8/2023,Travel
1.07,10/3/2023,Electronics
4.86,5/4/2023,Market
3.03,5/17/2023,Clothing
1.03,8/12/2023,Cosmetic
2.55,4/21/2023,Electronics
9.81,8/6/2023,Electronics
2.83,8/7/2023,Clothing
19.02,9/29/2023,Travel
3.58,2/6/2023,Market
6.93,5/14/2023,Electronics
0.72,7/21/2023,Restaurant
1.46,8/7/2023,Electronics
7.37,7/2/2023,Electronics
1.95,9/28/2023,Cosmetic
32.18,1/22/2023,Travel
0.44,9/4/2023,Market
0.95,5/30/2023,Restaurant
26.37,6/12/2023,Travel
0.98,4/13/2023,Cosmetic
0.45,7/9/2023,Cosmetic
0.71,3/16/2023,Clothing
3.14,10/12/2023,Market
0.79,4/27/2023,Restaurant
17.98,1/25/2023,Travel
1.06,5/31/2023,Restaurant
0.28,7/23/2023,Market
0.93,3/5/2023,Cosmetic
1.37,1/5/2023,Electronics
0.60,7/26/2023,Cosmetic
26.26,2/22/2023,Travel
1.38,6/16/2023,Clothing
0.76,2/1/2023,Restaurant
3.65,9/8/2023,Electronics
0.13,6/13/2023,Restaurant
1.41,2/7/2023,Cosmetic
17.66,2/5/2023,Travel
0.14,9/26/2023,Restaurant
0.20,3/11/2023,Restaurant
1.41,2/19/2023,Cosmetic
2.76,9/5/2023,Clothing
29.58,5/9/2023,Travel
3.52,10/9/2023,Clothing
2.96,7/23/2023,Market
28.68,7/16/2023,Travel
0.66,1/4/2023,Cosmetic
22.69,2/22/2023,Travel
0.77,4/7/2023,Restaurant
0.32,8/22/2023,Cosmetic
20.01,7/11/2023,Travel
5.83,8/29/2023,Electronics
3.50,7/12/2023,Clothing
0.13,8/14/2023,Cosmetic
1.88,8/6/2023,Clothing
11.09,8/30/2023,Electronics
15.20,1/17/2023,Travel
0.83,6/18/2023,Restaurant
2.08,9/27/2023,Market
2.30,7/14/2023,Cosmetic
2.96,8/9/2023,Travel
0.68,7/22/2023,Clothing
1.14,6/4/2023,Cosmetic
3.33,3/12/2023,Market
7.08,9/18/2023,Electronics
3.60,9/3/2023,Market
0.42,6/3/2023,Restaurant
2.28,6/22/2023,Clothing
7.74,8/6/2023,Travel
8.79,2/28/2023,Electronics
0.70,1/5/2023,Clothing
1.01,5/19/2023,Clothing
0.63,3/24/2023,Cosmetic
1.74,3/14/2023,Cosmetic
1.02,9/6/2023,Restaurant
23.17,7/15/2023,Travel
2.54,2/12/2023,Clothing
1.84,8/11/2023,Clothing
23.29,9/29/2023,Travel
24.78,6/25/2023,Travel
2.67,3/8/2023,Travel
14.19,8/17/2023,Travel
23.49,1/28/2023,Travel
3.48,3/29/2023,Clothing
0.68,3/1/2023,Clothing
0.60,2/26/2023,Restaurant
16.70,1/29/2023,Travel
0.38,6/4/2023,Restaurant
30.19,2/28/2023,Travel
4.93,4/22/2023,Electronics
30.74,1/5/2023,Travel
0.61,7/6/2023,Cosmetic
2.45,3/1/2023,Clothing
4.45,10/5/2023,Electronics
18.92,9/10/2023,Travel
2.58,8/20/2023,Market
3.04,7/13/2023,Market
0.33,4/10/2023,Restaurant
3.50,2/14/2023,Clothing
0.83,8/16/2023,Market
1.77,2/15/2023,Cosmetic
0.18,5/17/2023,Cosmetic
0.69,6/26/2023,Restaurant
11.68,1/19/2023,Electronics
33.06,2/24/2023,Travel
1.88,2/17/2023,Cosmetic
0.78,7/19/2023,Restaurant
1.67,2/2/2023,Travel
0.43,2/18/2023,Restaurant
0.61,2/7/2023,Restaurant
2.19,4/10/2023,Market
2.49,6/22/2023,Clothing
6.08,1/10/2023,Electronics
1.45,1/6/2023,Electronics
4.89,9/11/2023,Market
0.84,2/21/2023,Clothing
0.73,9/24/2023,Restaurant
2.65,1/17/2023,Electronics
2.21,3/1/2023,Electronics
1.15,1/20/2023,Restaurant
24.63,1/1/2023,Travel
14.00,7/5/2023,Travel
0.65,6/6/2023,Restaurant
2.47,6/6/2023,Clothing
0.91,3/12/2023,Restaurant
0.85,5/8/2023,Restaurant
0.75,7/22/2023,Cosmetic
2.27,2/23/2023,Clothing
23.21,7/2/2023,Travel
0.40,2/28/2023,Cosmetic
3.57,8/17/2023,Market
2.29,3/31/2023,Cosmetic
14.58,3/4/2023,Travel
1.94,1/17/2023,Market
0.31,3/6/2023,Restaurant
12.36,3/13/2023,Travel
21.55,9/12/2023,Travel
4.33,2/3/2023,Market
0.98,3/10/2023,Cosmetic
9.96,6/1/2023,Travel
22.61,8/2/2023,Travel
1.53,10/13/2023,Electronics
0.65,6/19/2023,Market
0.20,7/17/2023,Restaurant
3.38,1/3/2023,Clothing
0.76,5/28/2023,Market
4.37,6/5/2023,Market
12.96,2/12/2023,Travel
0.91,2/22/2023,Restaurant
13.22,8/22/2023,Travel
2.13,9/24/2023,Cosmetic
1.65,3/9/2023,Cosmetic
3.59,5/7/2023,Electronics
20.28,3/22/2023,Travel
0.90,9/23/2023,Restaurant
9.78,7/1/2023,Electronics
0.83,10/9/2023,Restaurant
0.81,4/20/2023,Cosmetic
1.98,2/18/2023,Market
3.12,2/1/2023,Market
25.17,1/18/2023,Travel
3.38,2/18/2023,Market
32.61,5/7/2023,Travel
1.78,6/18/2023,Cosmetic
3.02,1/15/2023,Clothing
4.31,5/11/2023,Travel
0.60,10/6/2023,Cosmetic
1.64,8/3/2023,Clothing
0.58,2/13/2023,Restaurant
3.18,4/9/2023,Electronics
11.58,9/28/2023,Travel
3.15,6/14/2023,Clothing
0.52,3/25/2023,Restaurant
0.58,3/22/2023,Clothing
0.81,5/7/2023,Restaurant
0.16,3/25/2023,Restaurant
1.36,3/30/2023,Cosmetic
0.35,4/6/2023,Restaurant
0.30,8/24/2023,Restaurant
10.23,4/18/2023,Travel
28.95,7/31/2023,Travel
9.60,3/16/2023,Electronics
19.91,4/11/2023,Travel
7.26,1/15/2023,Electronics
0.46,3/4/2023,Restaurant
1.60,10/6/2023,Clothing
1.02,7/4/2023,Clothing
0.55,8/21/2023,Clothing
1.64,6/22/2023,Cosmetic
5.27,6/4/2023,Market
0.84,2/24/2023,Electronics
3.17,2/9/2023,Electronics
0.80,1/10/2023,Restaurant
0.92,1/3/2023,Restaurant
0.34,9/14/2023,Restaurant
2.20,6/18/2023,Cosmetic
5.42,8/18/2023,Market
1.37,8/30/2023,Cosmetic
1.15,8/10/2023,Restaurant
1.62,3/24/2023,Cosmetic
2.12,5/8/2023,Cosmetic
0.90,7/5/2023,Restaurant
33.38,5/29/2023,Travel
4.41,4/7/2023,Electronics
2.68,1/15/2023,Electronics
0.35,2/18/2023,Restaurant
30.60,6/4/2023,Travel
0.39,6/7/2023,Restaurant
5.18,1/24/2023,Market
0.61,9/14/2023,Cosmetic
5.00,1/13/2023,Market
0.51,4/12/2023,Clothing
3.12,9/30/2023,Market
3.54,7/11/2023,Market
4.18,5/11/2023,Market
9.64,7/3/2023,Electronics
1.36,8/1/2023,Market
2.72,2/24/2023,Clothing
26.01,8/7/2023,Travel
21.22,4/1/2023,Travel
2.02,7/27/2023,Clothing
1.99,9/30/2023,Cosmetic
18.86,7/4/2023,Travel
2.23,6/30/2023,Electronics
3.38,8/5/2023,Clothing
5.29,4/29/2023,Market
0.40,7/27/2023,Clothing
2.10,8/7/2023,Clothing
6.68,1/12/2023,Electronics
3.49,8/24/2023,Clothing
4.13,7/8/2023,Market
0.36,10/14/2023,Restaurant
0.89,4/29/2023,Restaurant
1.47,6/5/2023,Cosmetic
7.26,4/11/2023,Travel
29.24,9/26/2023,Travel
1.12,8/13/2023,Market
1.50,1/6/2023,Electronics
1.50,2/11/2023,Electronics
11.76,3/24/2023,Travel
0.75,4/6/2023,Restaurant
0.91,10/14/2023,Restaurant
0.82,7/24/2023,Cosmetic
1.45,2/18/2023,Travel
0.65,7/27/2023,Restaurant
2.46,10/13/2023,Market
16.80,8/13/2023,Travel
0.79,3/25/2023,Clothing
1.64,7/10/2023,Clothing
2.15,8/19/2023,Cosmetic
2.89,3/6/2023,Market
1.04,10/11/2023,Market
0.62,9/13/2023,Restaurant
33.57,7/14/2023,Travel
5.42,2/7/2023,Electronics
9.18,7/2/2023,Travel
20.51,7/16/2023,Travel
5.70,7/24/2023,Electronics
5.68,6/28/2023,Market
1.43,4/11/2023,Cosmetic
3.37,9/5/2023,Market
0.35,1/10/2023,Clothing
0.94,7/8/2023,Market
1.12,8/2/2023,Restaurant
3.09,2/21/2023,Clothing
0.52,4/9/2023,Restaurant
0.70,6/9/2023,Market
4.54,9/10/2023,Travel
1.85,5/11/2023,Clothing
28.51,1/1/2023,Travel
4.12,7/8/2023,Market
10.24,5/28/2023,Electronics
2.78,8/28/2023,Clothing
1.88,10/7/2023,Travel
1.05,3/13/2023,Restaurant
1.04,4/3/2023,Restaurant
2.47,3/22/2023,Clothing
32.46,7/22/2023,Travel
0.14,4/19/2023,Restaurant
5.76,8/9/2023,Electronics
3.05,9/8/2023,Electronics
14.20,2/4/2023,Travel
22.79,8/26/2023,Travel
2.71,5/20/2023,Market
1.86,5/30/2023,Cosmetic
2.40,2/18/2023,Market
6.01,2/27/2023,Electronics
1.25,6/15/2023,Market
0.52,8/17/2023,Restaurant
2.35,4/29/2023,Market
0.82,1/8/2023,Clothing
10.24,1/1/2023,Electronics
0.17,3/8/2023,Restaurant
13.01,5/7/2023,Travel
18.89,2/21/2023,Travel
1.48,5/26/2023,Cosmetic
2.43,2/15/2023,Travel
1.55,8/12/2023,Travel
3.24,9/10/2023,Clothing
2.07,7/11/2023,Clothing
11.70,8/4/2023,Travel
1.04,6/29/2023,Clothing
1.08,3/24/2023,Restaurant
3.42,7/14/2023,Electronics
1.99,9/24/2023,Market
1.59,7/26/2023,Market
0.40,2/28/2023,Cosmetic
5.18,8/21/2023,Electronics
1.45,8/6/2023,Cosmetic
5.29,3/6/2023,Market
2.45,2/2/2023,Market
2.23,8/20/2023,Market
2.84,8/28/2023,Travel
17.43,8/24/2023,Travel
1.65,5/18/2023,Cosmetic
6.50,8/7/2023,Electronics
10.80,9/10/2023,Electronics
8.82,8/4/2023,Electronics
1.04,2/17/2023,Clothing
0.60,2/9/2023,Restaurant
0.36,9/7/2023,Restaurant
9.06,9/14/2023,Travel
0.57,2/7/2023,Restaurant
1.30,6/25/2023,Electronics
8.03,1/6/2023,Electronics
